"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67"
"regulation of BMP signaling pathway (GO:0030510)",NA,21271,74,67,72,3,0.0416666666666667,7.87197444354018e-05,0.408712913108606,"TCF7L2","FBN1","CHRDL1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of hormone levels (GO:0010817)",NA,21271,74,67,228,5,0.0219298245614035,8.21251127684851e-05,0.426393585493975,"AQP1","ATP6AP2","SULT1A1","AGT","ECE1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of smooth muscle cell proliferation (GO:0048662)",NA,21271,74,67,27,2,0.0740740740740741,8.27629313232462e-05,0.429705139430294,"PPARG","HMOX1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of innate immune response (GO:0045824)",NA,21271,74,67,27,2,0.0740740740740741,8.27629313232462e-05,0.429705139430294,"PPARG","NLRX1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of glycoprotein biosynthetic process (GO:0010559)",NA,21271,74,67,27,2,0.0740740740740741,8.27629313232462e-05,0.429705139430294,"TCF7L2","CHP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of macrophage derived foam cell differentiation (GO:0010743)",NA,21271,74,67,27,2,0.0740740740740741,8.27629313232462e-05,0.429705139430294,"AGT","PPARG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of peptidase activity (GO:0010466)",NA,21271,74,67,229,5,0.0218340611353712,8.41280351580085e-05,0.43679275854038,"LEF1","SERPINE2","AQP1","C4B","AGT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"wound healing (GO:0042060)",NA,21271,74,67,74,3,0.0405405405405405,8.76272168555735e-05,0.454960509914138,"AQP1","DCN","HMOX1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nuclear import (GO:0051170)",NA,21271,74,67,74,3,0.0405405405405405,8.76272168555735e-05,0.454960509914138,"AGT","TCF7L2","TXNIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of systemic arterial blood pressure (GO:0003073)",NA,21271,74,67,28,2,0.0714285714285714,9.24858540903326e-05,0.480186554437007,"AGT","ECE1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of DNA binding (GO:0051101)",NA,21271,74,67,76,3,0.0394736842105263,9.72458750637044e-05,0.504900583330753,"ID1","LEF1","HMOX1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of sodium ion transmembrane transporter activity (GO:2000649)",NA,21271,74,67,29,2,0.0689655172413793,0.000102925147895632,0.534387367874122,"AGT","CHP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of response to wounding (GO:1903034)",NA,21271,74,67,346,6,0.0173410404624277,0.000106740077716727,0.554194483505248,"NLRX1","SERPINE2","C4B","PPARG","AGT","HMGCR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)",NA,21271,74,67,78,3,0.0384615384615385,0.000107609438058237,0.558708202398368,"MCL1","HMOX1","TMEM109","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"modification by host of symbiont morphology or physiology (GO:0051851)",NA,21271,74,67,30,2,0.0666666666666667,0.000114103940368354,0.592427658392496,"LEF1","AQP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of lipid metabolic process (GO:0019216)",NA,21271,74,67,244,5,0.0204918032786885,0.000119140041634226,0.618575096164901,"PPARG","AGT","CD81","TCF7L2","ABCD2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to drug (GO:0042493)",NA,21271,74,67,353,6,0.0169971671388102,0.000120847034788653,0.627437804622684,"AQP1","MGST1","PPARG","PLIN2","SLC1A3","TXNIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of hydrolase activity (GO:0051346)",NA,21271,74,67,353,6,0.0169971671388102,0.000120847034788653,0.627437804622684,"LEF1","SERPINE2","AQP1","C4B","AGT","CHP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of T cell apoptotic process (GO:0070232)",NA,21271,74,67,31,2,0.0645161290322581,0.000126045129991262,0.654426314914633,"SIGLEC1","BBC3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to interleukin-4 (GO:0070670)",NA,21271,74,67,31,2,0.0645161290322581,0.000126045129991262,0.654426314914633,"TCF7","LEF1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"extracellular matrix organization (GO:0030198)",NA,21271,74,67,358,6,0.0167597765363128,0.000131824071281987,0.684430578096076,"ADAMTSL4","AGT","FBN1","ITGA7","DCN","ITGB5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"extracellular structure organization (GO:0043062)",NA,21271,74,67,359,6,0.0167130919220056,0.000134113828369359,0.696318996893711,"ADAMTSL4","AGT","FBN1","ITGA7","DCN","ITGB5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"canonical Wnt signaling pathway (GO:0060070)",NA,21271,74,67,83,3,0.036144578313253,0.000137002776625723,0.711318416240754,"LEF1","TCF7L2","TCF7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"hormone metabolic process (GO:0042445)",NA,21271,74,67,157,4,0.0254777070063694,0.00013724985301464,0.712601236852008,"AGT","ATP6AP2","SULT1A1","ECE1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of glycoprotein metabolic process (GO:1903018)",NA,21271,74,67,32,2,0.0625,0.000138771387500022,0.720501043900114,"TCF7L2","CHP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"interaction with symbiont (GO:0051702)",NA,21271,74,67,32,2,0.0625,0.000138771387500022,0.720501043900114,"LEF1","AQP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of insulin secretion involved in cellular response to glucose stimulus (GO:0061178)",NA,21271,74,67,32,2,0.0625,0.000138771387500022,0.720501043900114,"TCF7L2","HMGCR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"blood vessel development (GO:0001568)",NA,21271,74,67,84,3,0.0357142857142857,0.000143513685415496,0.745123054677255,"AGT","AQP1","TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"epithelium development (GO:0060429)",NA,21271,74,67,255,5,0.0196078431372549,0.000151498691599383,0.786581206783998,"SERPINE2","AQP1","CRLF1","TCF7","TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"face morphogenesis (GO:0060325)",NA,21271,74,67,33,2,0.0606060606060606,0.000152305157275648,0.790768376575163,"TCF7L2","LEF1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"somatic cell DNA recombination (GO:0016444)",NA,21271,74,67,33,2,0.0606060606060606,0.000152305157275648,0.790768376575163,"TCF7","LEF1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"alpha-beta T cell differentiation (GO:0046632)",NA,21271,74,67,33,2,0.0606060606060606,0.000152305157275648,0.790768376575163,"TCF7","LEF1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"somatic diversification of immune receptors via germline recombination within a single locus (GO:0002562)",NA,21271,74,67,33,2,0.0606060606060606,0.000152305157275648,0.790768376575163,"TCF7","LEF1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of system process (GO:0044057)",NA,21271,74,67,370,6,0.0162162162162162,0.000161505347580149,0.838535764636133,"AQP1","HMOX1","AGT","DAPK3","ECE1","HMGCR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"tube development (GO:0035295)",NA,21271,74,67,163,4,0.0245398773006135,0.000163562262861019,0.849215268774408,"AQP1","TCF7","CRLF1","TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nucleoside bisphosphate metabolic process (GO:0033865)",NA,21271,74,67,34,2,0.0588235294117647,0.000166668658730071,0.86534367612653,"HMGCR","SULT1A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ribonucleoside bisphosphate metabolic process (GO:0033875)",NA,21271,74,67,34,2,0.0588235294117647,0.000166668658730071,0.86534367612653,"HMGCR","SULT1A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"purine nucleoside bisphosphate metabolic process (GO:0034032)",NA,21271,74,67,34,2,0.0588235294117647,0.000166668658730071,0.86534367612653,"HMGCR","SULT1A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of gliogenesis (GO:0014015)",NA,21271,74,67,34,2,0.0588235294117647,0.000166668658730071,0.86534367612653,"PPARG","SERPINE2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to estrogen (GO:0043627)",NA,21271,74,67,165,4,0.0242424242424242,0.000173137847192582,0.898931702623885,"AQP1","HMOX1","TXNIP","PPARG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to wounding (GO:0009611)",NA,21271,74,67,166,4,0.0240963855421687,0.000178083381026179,0.924608914287921,"SLC1A3","AQP1","HMOX1","DCN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"heart development (GO:0007507)",NA,21271,74,67,166,4,0.0240963855421687,0.000178083381026179,0.924608914287921,"FBN1","ID1","PPARG","ECE1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
