"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9"
"chr4p11","http://www.broadinstitute.org/gsea/msigdb/cards/chr4p11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr10q26","http://www.broadinstitute.org/gsea/msigdb/cards/chr10q26",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr13q21","http://www.broadinstitute.org/gsea/msigdb/cards/chr13q21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr15q23","http://www.broadinstitute.org/gsea/msigdb/cards/chr15q23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr2p21","http://www.broadinstitute.org/gsea/msigdb/cards/chr2p21",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr19q12","http://www.broadinstitute.org/gsea/msigdb/cards/chr19q12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr20p11","http://www.broadinstitute.org/gsea/msigdb/cards/chr20p11",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr5q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr5q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr4p13","http://www.broadinstitute.org/gsea/msigdb/cards/chr4p13",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr8q23","http://www.broadinstitute.org/gsea/msigdb/cards/chr8q23",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr19p12","http://www.broadinstitute.org/gsea/msigdb/cards/chr19p12",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chr21q22","http://www.broadinstitute.org/gsea/msigdb/cards/chr21q22",12,12,12,12,12,12,12,12,"","","","","","","","",""
"chrxq25","http://www.broadinstitute.org/gsea/msigdb/cards/chrxq25",12,12,12,12,12,12,12,12,"","","","","","","","",""
