"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52"
"mitotic G1 DNA damage checkpoint (GO:0031571)",NA,20829,52,52,8,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to UV (GO:0034644)",NA,20829,52,52,39,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)",NA,20829,52,52,18,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of JUN kinase activity (GO:0043508)",NA,20829,52,52,9,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of cell cycle arrest (GO:0071158)",NA,20829,52,52,21,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900740)",NA,20829,52,52,28,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of MAPK cascade (GO:0043410)",NA,20829,52,52,54,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of hydrogen peroxide-induced cell death (GO:1903206)",NA,20829,52,52,8,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"endochondral ossification (GO:0001958)",NA,20829,52,52,7,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"viral translational termination-reinitiation (GO:0075525)",NA,20829,52,52,4,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of translational initiation (GO:0006446)",NA,20829,52,52,23,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"monocarboxylic acid transport (GO:0015718)",NA,20829,52,52,4,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"protein deacetylation (GO:0006476)",NA,20829,52,52,10,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of TOR signaling (GO:0032008)",NA,20829,52,52,26,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of JNK cascade (GO:0046329)",NA,20829,52,52,16,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"spindle assembly (GO:0051225)",NA,20829,52,52,21,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to fluid shear stress (GO:0071498)",NA,20829,52,52,6,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of myotube differentiation (GO:0010832)",NA,20829,52,52,10,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ribosome biogenesis (GO:0042254)",NA,20829,52,52,9,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"inhibition of cysteine-type endopeptidase activity involved in apoptotic process (GO:1990001)",NA,20829,52,52,9,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"neuron cell-cell adhesion (GO:0007158)",NA,20829,52,52,9,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of T cell mediated cytotoxicity (GO:0001916)",NA,20829,52,52,9,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of protein localization to plasma membrane (GO:1903076)",NA,20829,52,52,6,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bile acid and bile salt transport (GO:0015721)",NA,20829,52,52,20,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"detection of virus (GO:0009597)",NA,20829,52,52,4,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"toll-like receptor 3 signaling pathway (GO:0034138)",NA,20829,52,52,5,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"response to exogenous dsRNA (GO:0043330)",NA,20829,52,52,20,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of interferon-gamma biosynthetic process (GO:0045078)",NA,20829,52,52,10,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"necroptotic signaling pathway (GO:0097527)",NA,20829,52,52,5,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"glycosphingolipid biosynthetic process (GO:0006688)",NA,20829,52,52,7,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"glycogen catabolic process (GO:0005980)",NA,20829,52,52,15,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of lipid storage (GO:0010884)",NA,20829,52,52,8,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"phosphatidylglycerol acyl-chain remodeling (GO:0036148)",NA,20829,52,52,16,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"phosphatidylinositol acyl-chain remodeling (GO:0036149)",NA,20829,52,52,15,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"phosphatidylserine acyl-chain remodeling (GO:0036150)",NA,20829,52,52,20,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"phosphatidylcholine acyl-chain remodeling (GO:0036151)",NA,20829,52,52,26,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"phosphatidylethanolamine acyl-chain remodeling (GO:0036152)",NA,20829,52,52,25,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of macrophage activation (GO:0043030)",NA,20829,52,52,4,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"vesicle docking involved in exocytosis (GO:0006904)",NA,20829,52,52,21,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SREBP signaling pathway (GO:0032933)",NA,20829,52,52,4,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)",NA,20829,52,52,5,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"transcription-coupled nucleotide-excision repair (GO:0006283)",NA,20829,52,52,72,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fibroblast growth factor receptor signaling pathway (GO:0008543)",NA,20829,52,52,76,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RNA metabolic process (GO:0016070)",NA,20829,52,52,42,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"somatic stem cell population maintenance (GO:0035019)",NA,20829,52,52,37,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to ionizing radiation (GO:0071479)",NA,20829,52,52,27,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"skeletal muscle tissue development (GO:0007519)",NA,20829,52,52,18,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of necroptotic process (GO:0060544)",NA,20829,52,52,10,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)",NA,20829,52,52,24,0,0,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
