Gene,logFC,logCPM,LR,PValue,FDR
COX1,0.195399308,14.1601636,0.250285744,0.616873948,0.996621727
PDLIM4,0.161228046,5.012734703,0.25024278,0.61690418,0.996621727
ADCY7,0.134521082,2.780750882,0.250201059,0.616933541,0.996621727
NEGR1,-0.331009212,0.717679546,0.250088228,0.61701296,0.996621727
ZSCAN20,-0.111582326,3.254844339,0.250069315,0.617026275,0.996621727
PCCA,-0.126478152,4.472223816,0.25001156,0.617066938,0.996621727
RNF183,-0.126368974,3.215289604,0.249851483,0.617179672,0.996621727
AIF1L,-0.116584967,2.716581777,0.249845758,0.617183705,0.996621727
ATP5PD,-0.19487356,5.769822856,0.249773271,0.61723477,0.996621727
DHODH,-0.140723115,2.181020202,0.249761616,0.617242981,0.996621727
SPAG9,-0.126138991,6.340749738,0.249722185,0.617270764,0.996621727
BORCS5,-0.124725482,2.642313485,0.24971548,0.617275488,0.996621727
FAT1,-0.176368801,8.395075628,0.249656429,0.6173171,0.996621727
GUSBP4,-0.146116131,1.451021474,0.249642115,0.617327188,0.996621727
LMO2,-0.140018128,4.317795228,0.249640909,0.617328038,0.996621727
ZCRB1,-0.118019388,5.426396653,0.249631128,0.617334932,0.996621727
VEGFA,0.189652567,5.169794933,0.249596291,0.617359485,0.996621727
HSPE1,0.111766223,5.449509767,0.249582267,0.61736937,0.996621727
PSRC1,-0.213146007,0.965834389,0.249453007,0.617460496,0.996621727
ZNF585A,-0.11048296,3.577426294,0.249449634,0.617462874,0.996621727
PGAM5,0.115465874,4.234352936,0.249363912,0.617523323,0.996621727
PRIM1,-0.206379174,1.482847471,0.249293199,0.617573198,0.996621727
EVPLL,-0.426016851,1.251436476,0.249284355,0.617579436,0.996621727
C8orf44,-0.168310171,1.481731642,0.249194225,0.617643021,0.996621727
MRPL2,0.128308008,3.989458302,0.249125015,0.617691856,0.996621727
VTI1A,-0.10813765,4.405482739,0.249091595,0.617715441,0.996621727
FXR1,-0.117270805,6.659121834,0.24902752,0.617760664,0.996621727
AKR1A1,-0.164109326,6.855848315,0.248958174,0.617809617,0.996621727
DNAJC4,0.146885117,4.225993791,0.248832369,0.617898445,0.996621727
NHLRC2,0.151120657,5.014244052,0.248745737,0.61795963,0.996621727
MED6,-0.107077459,4.141629795,0.248613787,0.618052849,0.996621727
MAP4K3,0.154864282,5.285630482,0.248573108,0.618081593,0.996621727
VKORC1L1,0.106602243,4.941941266,0.248489572,0.61814063,0.996621727
RNF165,-0.224332854,0.25425668,0.24846637,0.61815703,0.996621727
COQ3,-0.173532704,2.425711141,0.248063881,0.61844167,0.996621727
PAQR6,0.241790523,1.20715575,0.247896678,0.618560001,0.996621727
SETSIP,-0.114687123,2.929959714,0.247610432,0.618762694,0.996621727
ATF7,0.131203508,5.299591566,0.247496479,0.618843426,0.996621727
NDRG3,0.109415688,5.032239855,0.24746548,0.618865392,0.996621727
CAPN3,0.198906476,3.026178218,0.247445394,0.618879626,0.996621727
INAFM1,-0.189388182,2.042520939,0.247354133,0.618944307,0.996621727
CHTF18,-0.191925948,2.300974664,0.247312166,0.618974055,0.996621727
GCLC,-0.116763512,6.837075523,0.24730029,0.618982474,0.996621727
ARAP3,0.128847333,4.500702931,0.247252515,0.619016345,0.996621727
NT5C2,0.106539393,7.260037795,0.247245813,0.619021096,0.996621727
RNF24,-0.101426786,4.476368119,0.247081444,0.619137661,0.996621727
NSF,0.09190662,5.80235318,0.247046397,0.619162521,0.996621727
HINFP,-0.137320772,3.858885572,0.247014316,0.61918528,0.996621727
ZC3H14,-0.104010134,6.349910687,0.246691757,0.619414207,0.996621727
CDC14B,-0.126893202,5.284289647,0.246616838,0.619467405,0.996621727
LOC100996740,-0.161137484,1.718525777,0.246416808,0.619609491,0.996621727
MGAT5,-0.126028376,6.500788628,0.246371578,0.619641629,0.996621727
ACLY,0.116371272,6.774718358,0.246330742,0.619670648,0.996621727
ABCB6,0.130953746,4.128043389,0.246217008,0.619751486,0.996621727
MAD1L1,-0.126558273,4.020987585,0.246183025,0.619775644,0.996621727
SOCS4,0.180279818,4.849171073,0.246119985,0.619820464,0.996621727
SMIM8,-0.144885161,2.068027201,0.24611863,0.619821428,0.996621727
DDX6,-0.110162637,7.355075285,0.246079672,0.61984913,0.996621727
CDC37,0.150482388,7.116072585,0.245965639,0.619930231,0.996621727
ITPA,-0.172604256,4.970606632,0.245791436,0.620054172,0.996621727
TMEM199,0.118325876,4.176425519,0.245781499,0.620061243,0.996621727
LINC02562,-0.211523383,1.908415523,0.245728054,0.62009928,0.996621727
ZBED6CL,0.337277286,3.690741968,0.245600872,0.620189816,0.996621727
ZNF410,-0.156598458,4.775893319,0.245498214,0.620262914,0.996621727
TIMM8B,-0.185584747,4.47005722,0.245469704,0.620283219,0.996621727
SLC25A15,-0.190620596,2.127608298,0.245407582,0.620327466,0.996621727
YIF1A,0.160788313,4.707051672,0.245356256,0.620364029,0.996621727
EVC,0.167127202,4.80349682,0.245242319,0.620445211,0.996621727
MECP2,-0.104534036,5.710469605,0.24508158,0.620559781,0.996621727
VASN,0.202024506,2.711187171,0.24505088,0.620581668,0.996621727
TBX6,0.181799026,3.954847287,0.244915759,0.620678022,0.996621727
SUPT7L,0.103229108,5.576760055,0.244910493,0.620681777,0.996621727
RASGRP1,-0.160669706,1.145893248,0.244905157,0.620685583,0.996621727
KPTN,0.169806473,2.330621345,0.244856533,0.620720266,0.996621727
ERICH1,0.150880993,4.12324506,0.244712826,0.620822793,0.996621727
BLVRA,-0.152111593,4.966652483,0.24456938,0.620925173,0.996621727
PSMA1,0.108589131,6.109456538,0.244409629,0.621039232,0.996621727
EID1,0.120258578,7.032840928,0.244399864,0.621046206,0.996621727
PDCL3,-0.11035657,3.962245537,0.244348557,0.62108285,0.996621727
CNGA1,-0.20745679,1.512839873,0.244302138,0.621116006,0.996621727
DMBT1,-0.452958148,-0.956186039,0.244285093,0.621128181,0.996621727
UBA6-AS1,-0.126703858,3.473898209,0.244279672,0.621132054,0.996621727
FUT8,0.131377226,4.422715979,0.243937023,0.621376938,0.996621727
DGCR2,0.10968811,6.579136317,0.243920993,0.6213884,0.996621727
CCDC86,0.140363524,3.931969425,0.243883643,0.621415107,0.996621727
PIK3C2A,-0.164555745,5.997457155,0.243816686,0.621462992,0.996621727
DHPS,-0.119224962,4.899430161,0.243757948,0.621505005,0.996621727
TIMP1,0.187387647,5.82680888,0.243720329,0.621531916,0.996621727
PTPRQ,-0.122670071,4.664289445,0.24364088,0.621588758,0.996621727
C3orf38,0.124546742,4.601186907,0.243583501,0.621629818,0.996621727
LOC102724788,-0.20574793,5.441073763,0.243470514,0.621710687,0.996621727
DIPK2A,0.145877659,3.752019561,0.24336959,0.621782942,0.996621727
POP5,-0.17564092,3.939434965,0.243330957,0.621810606,0.996621727
NME3,-0.263588675,3.998843235,0.243302568,0.621830935,0.996621727
EZH1,-0.101741133,4.703784511,0.243181991,0.6219173,0.996621727
RSL24D1,0.125836174,5.34515051,0.243135106,0.621950889,0.996621727
CTNNB1,-0.148735372,8.514516342,0.24308273,0.621988417,0.996621727
